Life expectancy at birth (cohort, 1x5) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year       Female    Male     Total
SWE      1870-1874     50.37    48.07    49.21
SWE      1875-1879     51.32    48.78    50.03
SWE      1880-1884     53.66    50.82    52.22
SWE      1885-1889     55.72    52.65    54.18
SWE      1890-1894     57.98    54.03    56.00
SWE      1895-1899     59.98    55.56    57.75
SWE      1900-1904     63.23    58.30    60.74
SWE      1905-1909     66.38    61.07    63.68
SWE      1910-1914     68.53    62.76    65.57
SWE      1915-1919     70.88    64.55    67.64
SWE      1920-1924     73.60    66.84    70.14
SWE      1925-1929     75.43    68.68    71.98
SWE      1930-1933     76.99    70.47    73.67
