Life expectancy at birth (period, 1x5) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year       Female    Male     Total
FIN      1890-1894     44.52    41.60    43.04
FIN      1895-1899     48.25    45.55    46.89
FIN      1900-1904     46.25    43.54    44.88
FIN      1905-1909     48.54    45.40    46.96
FIN      1910-1914     50.63    47.41    49.01
FIN      1915-1919     47.59    39.30    43.16
FIN      1920-1924     53.29    48.59    50.92
FIN      1925-1929     55.30    50.29    52.77
FIN      1930-1934     57.86    52.74    55.29
FIN      1935-1939     59.54    53.46    56.46
FIN      1940-1944     60.23    42.03    50.00
FIN      1945-1949     64.48    56.32    60.40
FIN      1950-1954     69.31    62.66    66.08
FIN      1955-1959     71.26    64.61    68.03
FIN      1960-1964     72.50    65.45    69.06
FIN      1965-1969     73.35    65.74    69.60
FIN      1970-1974     75.00    66.51    70.80
FIN      1975-1979     76.89    68.09    72.56
FIN      1980-1984     78.34    69.97    74.27
FIN      1985-1989     78.72    70.58    74.75
FIN      1990-1994     79.45    71.77    75.70
FIN      1995-1999     80.63    73.31    77.05
FIN      2000-2004     81.63    74.81    78.29
FIN      2005-2009     82.82    76.01    79.46
FIN      2010-2014     83.58    77.49    80.57
FIN      2015-2019     84.27    78.76    81.54
FIN      2020-2024     84.37    79.09    81.73
FRACNP   1816-1819     39.58    38.05    38.80
FRACNP   1820-1824     40.05    38.70    39.35
FRACNP   1825-1829     39.21    37.94    38.56
FRACNP   1830-1834     38.50    37.09    37.77
FRACNP   1835-1839     40.93    39.54    40.22
FRACNP   1840-1844     41.64    40.08    40.85
FRACNP   1845-1849     40.82    39.41    40.10
FRACNP   1850-1854     41.61    40.24    40.92
FRACNP   1855-1859     39.34    37.55    38.42
FRACNP   1860-1864     42.67    41.52    42.09
FRACNP   1865-1869     42.00    40.38    41.17
FRACNP   1870-1874     40.14    36.78    38.38
FRACNP   1875-1879     44.74    42.71    43.69
FRACNP   1880-1884     44.24    41.89    43.03
FRACNP   1885-1889     45.48    42.80    44.10
FRACNP   1890-1894     45.54    42.61    44.03
FRACNP   1895-1899     48.05    44.77    46.36
FRACNP   1900-1904     49.08    45.59    47.29
FRACNP   1905-1909     50.69    46.86    48.73
FRACNP   1910-1914     52.73    48.39    50.52
FRACNP   1915-1919     50.03    40.30    46.51
FRACNP   1920-1924     55.92    51.82    53.86
FRACNP   1925-1929     56.95    52.54    54.73
FRACNP   1930-1934     59.92    54.81    57.36
FRACNP   1935-1939     61.92    55.95    58.92
FRACNP   1940-1944     60.66    52.80    56.81
FRACNP   1945-1949     65.77    60.07    62.97
FRACNP   1950-1954     69.93    64.05    67.06
FRACNP   1955-1959     72.40    65.91    69.21
FRACNP   1960-1964     74.10    67.19    70.67
FRACNP   1965-1969     75.07    67.64    71.35
FRACNP   1970-1974     76.19    68.56    72.35
FRACNP   1975-1979     77.62    69.54    73.54
FRACNP   1980-1984     78.79    70.62    74.67
FRACNP   1985-1989     80.12    71.90    75.99
FRACNP   1990-1994     81.39    73.13    77.25
FRACNP   1995-1999     82.24    74.42    78.34
FRACNP   2000-2004     83.11    75.77    79.49
FRACNP   2005-2009     84.24    77.32    80.85
FRACNP   2010-2014     85.01    78.56    81.87
FRACNP   2015-2019     85.37    79.39    82.45
FRACNP   2020-2023     85.30    79.45    82.42
FRATNP   1816-1819     39.58    38.05    38.80
FRATNP   1820-1824     40.05    38.70    39.35
FRATNP   1825-1829     39.21    37.94    38.56
FRATNP   1830-1834     38.50    37.09    37.77
FRATNP   1835-1839     40.93    39.54    40.22
FRATNP   1840-1844     41.64    40.08    40.85
FRATNP   1845-1849     40.82    39.41    40.10
FRATNP   1850-1854     41.61    40.24    40.92
FRATNP   1855-1859     39.34    37.55    38.42
FRATNP   1860-1864     42.67    41.52    42.09
FRATNP   1865-1869     42.00    40.38    41.17
FRATNP   1870-1874     40.14    36.78    38.38
FRATNP   1875-1879     44.74    42.71    43.69
FRATNP   1880-1884     44.24    41.89    43.03
FRATNP   1885-1889     45.48    42.80    44.10
FRATNP   1890-1894     45.54    42.61    44.03
FRATNP   1895-1899     48.05    44.77    46.36
FRATNP   1900-1904     49.08    45.59    47.29
FRATNP   1905-1909     50.69    46.86    48.73
FRATNP   1910-1914     52.73    43.79    47.97
FRATNP   1915-1919     50.03    32.07    39.92
FRATNP   1920-1924     55.92    51.86    53.88
FRATNP   1925-1929     56.95    52.54    54.73
FRATNP   1930-1934     59.92    54.81    57.36
FRATNP   1935-1939     61.92    55.95    58.92
FRATNP   1940-1944     58.58    47.64    52.78
FRATNP   1945-1949     65.41    59.54    62.51
FRATNP   1950-1954     69.93    64.05    67.06
FRATNP   1955-1959     72.40    65.91    69.21
FRATNP   1960-1964     74.10    67.19    70.67
FRATNP   1965-1969     75.07    67.64    71.35
FRATNP   1970-1974     76.19    68.56    72.35
FRATNP   1975-1979     77.62    69.54    73.54
FRATNP   1980-1984     78.79    70.62    74.67
FRATNP   1985-1989     80.12    71.90    75.99
FRATNP   1990-1994     81.39    73.13    77.25
FRATNP   1995-1999     82.24    74.42    78.34
FRATNP   2000-2004     83.11    75.77    79.49
FRATNP   2005-2009     84.24    77.32    80.85
FRATNP   2010-2014     85.01    78.56    81.87
FRATNP   2015-2019     85.37    79.39    82.45
FRATNP   2020-2023     85.30    79.45    82.42
GBR_NIR  1922-1924     55.18    54.34    54.74
GBR_NIR  1925-1929     56.13    55.30    55.69
GBR_NIR  1930-1934     58.71    57.20    57.95
GBR_NIR  1935-1939     59.38    57.70    58.54
GBR_NIR  1940-1944     61.25    58.66    59.95
GBR_NIR  1945-1949     66.18    63.49    64.84
GBR_NIR  1950-1954     69.64    65.94    67.80
GBR_NIR  1955-1959     71.78    67.65    69.74
GBR_NIR  1960-1964     72.72    67.77    70.26
GBR_NIR  1965-1969     73.55    68.18    70.88
GBR_NIR  1970-1974     73.82    67.31    70.53
GBR_NIR  1975-1979     74.62    68.03    71.30
GBR_NIR  1980-1984     75.93    69.57    72.77
GBR_NIR  1985-1989     77.16    71.06    74.16
GBR_NIR  1990-1994     78.32    72.62    75.55
GBR_NIR  1995-1999     79.19    73.91    76.64
GBR_NIR  2000-2004     80.35    75.45    77.99
GBR_NIR  2005-2009     81.20    76.40    78.87
GBR_NIR  2010-2014     82.17    77.95    80.12
GBR_NIR  2015-2019     82.43    78.67    80.59
GBR_NIR  2020-2022     82.28    78.44    80.37
GBR_NP   1922-1924     59.99    56.22    58.12
GBR_NP   1925-1929     60.83    56.89    58.87
GBR_NP   1930-1934     62.60    58.62    60.63
GBR_NP   1935-1939     64.56    60.34    62.47
GBR_NP   1940-1944     65.70    59.83    62.97
GBR_NP   1945-1949     69.33    64.58    67.01
GBR_NP   1950-1954     71.76    66.65    69.26
GBR_NP   1955-1959     73.26    67.66    70.52
GBR_NP   1960-1964     73.92    67.96    70.99
GBR_NP   1965-1969     74.73    68.51    71.67
GBR_NP   1970-1974     75.22    68.95    72.13
GBR_NP   1975-1979     75.95    69.80    72.92
GBR_NP   1980-1984     77.03    71.06    74.10
GBR_NP   1985-1989     77.82    72.10    75.02
GBR_NP   1990-1994     78.82    73.37    76.16
GBR_NP   1995-1999     79.53    74.46    77.05
GBR_NP   2000-2004     80.53    75.92    78.29
GBR_NP   2005-2009     81.62    77.38    79.55
GBR_NP   2010-2014     82.67    78.84    80.80
GBR_NP   2015-2019     82.91    79.21    81.09
GBR_NP   2020-2022     82.59    78.60    80.60
GBR_SCO  1855-1859     45.03    41.95    43.54
GBR_SCO  1860-1864     43.02    40.45    41.77
GBR_SCO  1865-1869     43.81    41.09    42.48
GBR_SCO  1870-1874     42.97    40.11    41.56
GBR_SCO  1875-1879     44.92    42.25    43.61
GBR_SCO  1880-1884     46.11    43.47    44.81
GBR_SCO  1885-1889     47.47    45.22    46.37
GBR_SCO  1890-1894     46.67    44.30    45.50
GBR_SCO  1895-1899     48.12    45.27    46.71
GBR_SCO  1900-1904     49.29    46.24    47.77
GBR_SCO  1905-1909     51.12    48.35    49.75
GBR_SCO  1910-1914     52.99    49.90    51.46
GBR_SCO  1915-1919     52.46    48.99    50.73
GBR_SCO  1920-1924     56.74    53.39    55.07
GBR_SCO  1925-1929     58.44    54.73    56.59
GBR_SCO  1930-1934     59.90    56.29    58.10
GBR_SCO  1935-1939     61.77    57.74    59.77
GBR_SCO  1940-1944     62.87    55.70    59.62
GBR_SCO  1945-1949     66.40    61.89    64.19
GBR_SCO  1950-1954     69.46    64.88    67.22
GBR_SCO  1955-1959     71.27    65.93    68.66
GBR_SCO  1960-1964     72.15    66.23    69.24
GBR_SCO  1965-1969     73.09    66.95    70.08
GBR_SCO  1970-1974     73.75    67.37    70.61
GBR_SCO  1975-1979     74.49    68.19    71.40
GBR_SCO  1980-1984     75.51    69.36    72.51
GBR_SCO  1985-1989     76.31    70.35    73.41
GBR_SCO  1990-1994     77.22    71.52    74.45
GBR_SCO  1995-1999     78.01    72.40    75.28
GBR_SCO  2000-2004     78.91    73.57    76.31
GBR_SCO  2005-2009     79.86    75.10    77.55
GBR_SCO  2010-2014     80.90    76.77    78.89
GBR_SCO  2015-2019     81.09    77.07    79.11
GBR_SCO  2020-2022     80.71    76.54    78.64
GBRCENW  1841-1844     42.57    40.62    41.58
GBRCENW  1845-1849     40.40    38.47    39.42
GBRCENW  1850-1854     41.96    39.92    40.92
GBRCENW  1855-1859     42.37    40.33    41.33
GBRCENW  1860-1864     42.77    40.38    41.56
GBRCENW  1865-1869     42.84    40.07    41.43
GBRCENW  1870-1874     43.78    40.62    42.18
GBRCENW  1875-1879     45.15    41.80    43.46
GBRCENW  1880-1884     46.46    43.34    44.89
GBRCENW  1885-1889     47.55    44.37    45.95
GBRCENW  1890-1894     47.17    43.82    45.48
GBRCENW  1895-1899     48.43    44.91    46.65
GBRCENW  1900-1904     50.46    46.64    48.53
GBRCENW  1905-1909     53.30    49.55    51.42
GBRCENW  1910-1914     55.45    51.45    53.45
GBRCENW  1915-1919     54.99    47.83    51.85
GBRCENW  1920-1924     60.12    56.03    58.09
GBRCENW  1925-1929     61.31    57.25    59.29
GBRCENW  1930-1934     63.09    59.00    61.06
GBRCENW  1935-1939     65.12    60.79    62.97
GBRCENW  1940-1944     66.23    60.44    63.54
GBRCENW  1945-1949     69.80    64.96    67.44
GBRCENW  1950-1954     72.11    66.90    69.56
GBRCENW  1955-1959     73.54    67.86    70.77
GBRCENW  1960-1964     74.15    68.16    71.21
GBRCENW  1965-1969     74.95    68.70    71.87
GBRCENW  1970-1974     75.42    69.18    72.34
GBRCENW  1975-1979     76.15    70.02    73.13
GBRCENW  1980-1984     77.23    71.29    74.31
GBRCENW  1985-1989     78.00    72.32    75.22
GBRCENW  1990-1994     79.01    73.58    76.36
GBRCENW  1995-1999     79.70    74.68    77.25
GBRCENW  2000-2004     80.71    76.17    78.50
GBRCENW  2005-2009     81.82    77.64    79.78
GBRCENW  2010-2014     82.87    79.08    81.02
GBRCENW  2015-2019     83.12    79.44    81.30
GBRCENW  2020-2022     82.79    78.80    80.80
GBRTENW  1841-1844     42.57    40.62    41.58
GBRTENW  1845-1849     40.40    38.47    39.42
GBRTENW  1850-1854     41.96    39.92    40.92
GBRTENW  1855-1859     42.37    40.33    41.33
GBRTENW  1860-1864     42.77    40.38    41.56
GBRTENW  1865-1869     42.84    40.07    41.43
GBRTENW  1870-1874     43.78    40.62    42.18
GBRTENW  1875-1879     45.15    41.80    43.46
GBRTENW  1880-1884     46.46    43.34    44.89
GBRTENW  1885-1889     47.55    44.37    45.95
GBRTENW  1890-1894     47.17    43.82    45.48
GBRTENW  1895-1899     48.43    44.91    46.65
GBRTENW  1900-1904     50.46    46.64    48.53
GBRTENW  1905-1909     53.30    49.55    51.42
GBRTENW  1910-1914     55.45    50.86    53.14
GBRTENW  1915-1919     54.99    40.33    47.15
GBRTENW  1920-1924     60.12    56.09    58.12
GBRTENW  1925-1929     61.31    57.25    59.29
GBRTENW  1930-1934     63.09    59.00    61.06
GBRTENW  1935-1939     65.12    60.80    62.98
GBRTENW  1940-1944     66.29    58.23    62.16
GBRTENW  1945-1949     69.80    63.27    66.52
GBRTENW  1950-1954     72.10    66.89    69.55
GBRTENW  1955-1959     73.54    67.86    70.77
GBRTENW  1960-1964     74.15    68.16    71.21
GBRTENW  1965-1969     74.95    68.70    71.87
GBRTENW  1970-1974     75.42    69.18    72.34
GBRTENW  1975-1979     76.15    70.02    73.13
GBRTENW  1980-1984     77.23    71.29    74.31
GBRTENW  1985-1989     78.00    72.32    75.22
GBRTENW  1990-1994     79.01    73.58    76.36
GBRTENW  1995-1999     79.70    74.68    77.25
GBRTENW  2000-2004     80.71    76.17    78.50
GBRTENW  2005-2009     81.82    77.64    79.78
GBRTENW  2010-2014     82.87    79.08    81.02
GBRTENW  2015-2019     83.12    79.44    81.30
GBRTENW  2020-2022     82.79    78.80    80.80
GRC      1981-1984     78.23    73.45    75.84
GRC      1985-1989     78.92    73.98    76.45
GRC      1990-1994     79.93    74.76    77.34
GRC      1995-1999     80.71    75.23    77.95
GRC      2000-2004     81.67    76.11    78.86
GRC      2005-2009     82.71    77.04    79.85
GRC      2010-2014     83.54    78.13    80.84
GRC      2015-2019     83.86    78.71    81.29
HKG      1986-1989     79.89    74.14    77.02
HKG      1990-1994     80.98    75.23    78.07
HKG      1995-1999     82.80    76.92    79.82
HKG      2000-2004     84.15    78.22    81.14
HKG      2005-2009     84.94    79.21    82.03
HKG      2010-2014     86.11    80.47    83.27
HKG      2015-2019     87.28    81.68    84.47
HKG      2020-2023     87.54    81.92    84.73
HRV      2001-2004     78.38    71.20    74.83
HRV      2005-2009     79.25    72.27    75.79
HRV      2010-2014     80.43    74.00    77.26
HRV      2015-2019     81.05    74.86    77.98
HUN      1950-1954     65.66    61.40    63.55
HUN      1955-1959     68.93    64.56    66.78
HUN      1960-1964     70.90    66.37    68.67
HUN      1965-1969     71.96    66.86    69.44
HUN      1970-1974     72.30    66.42    69.37
HUN      1975-1979     72.82    66.40    69.60
HUN      1980-1984     72.98    65.32    69.08
HUN      1985-1989     73.50    65.37    69.36
HUN      1990-1994     74.01    64.90    69.34
HUN      1995-1999     75.22    66.28    70.69
HUN      2000-2004     76.59    68.18    72.40
HUN      2005-2009     77.63    69.36    73.54
HUN      2010-2014     78.73    71.52    75.22
HUN      2015-2019     79.38    72.62    76.09
IRL      1950-1954     68.05    65.36    66.64
IRL      1955-1959     70.71    67.30    68.93
IRL      1960-1964     72.11    68.22    70.08
IRL      1965-1969     73.05    68.62    70.73
IRL      1970-1974     73.76    68.76    71.14
IRL      1975-1979     74.73    69.36    71.91
IRL      1980-1984     76.02    70.37    73.07
IRL      1985-1989     77.04    71.33    74.09
IRL      1990-1994     78.14    72.54    75.27
IRL      1995-1999     78.73    73.20    75.92
IRL      2000-2004     80.16    75.01    77.58
IRL      2005-2009     81.70    76.96    79.34
IRL      2010-2014     82.83    78.42    80.64
IRL      2015-2019     83.50    79.49    81.50
IRL      2020-2022     83.76    79.97    81.86
ISL      1838-1839     31.95    28.57    30.26
ISL      1840-1844     37.01    32.54    34.74
ISL      1845-1849     34.55    30.65    32.57
ISL      1850-1854     42.79    37.37    40.04
